id,employee_name,wage,month,year,time_worked
1,Anna Antoniuk,5731.88,January,2022,163.0
2,Jan Jerzmanowski,7557.99,January,2022,162.9
3,Krzysztof Kosiniak,5808.25,January,2022,196.1
4,Daniel Jeleń,9108.79,January,2022,165.8
5,Marcin Marciniak,5835.36,January,2022,177.1
6,Sylwia Salamon,8845.93,January,2022,191.1
7,Dominik Dąbrowski,10644.45,January,2022,198.4
8,Anna Antoniuk,9575.63,February,2022,197.9
9,Jan Jerzmanowski,5811.02,February,2022,173.4
10,Krzysztof Kosiniak,11819.01,February,2022,178.5
11,Daniel Jeleń,9996.4,February,2022,183.8
12,Marcin Marciniak,10954.01,February,2022,169.4
13,Sylwia Salamon,7219.89,February,2022,184.8
14,Dominik Dąbrowski,10246.06,February,2022,161.2
15,Anna Antoniuk,10357.02,March,2022,199.6
16,Jan Jerzmanowski,8728.38,March,2022,173.4
17,Krzysztof Kosiniak,10149.87,March,2022,181.3
18,Daniel Jeleń,6799.32,March,2022,170.8
19,Marcin Marciniak,10744.8,March,2022,176.3
20,Sylwia Salamon,5489.49,March,2022,171.0
21,Dominik Dąbrowski,10582.1,March,2022,198.7
22,Anna Antoniuk,10481.29,April,2022,186.9
23,Jan Jerzmanowski,9971.05,April,2022,187.6
24,Krzysztof Kosiniak,11157.51,April,2022,185.1
25,Daniel Jeleń,5832.25,April,2022,171.0
26,Marcin Marciniak,9737.05,April,2022,172.2
27,Sylwia Salamon,7087.46,April,2022,172.7
28,Dominik Dąbrowski,11739.86,April,2022,160.6
29,Anna Antoniuk,8016.67,May,2022,193.7
30,Jan Jerzmanowski,10841.6,May,2022,164.8
31,Krzysztof Kosiniak,9924.34,May,2022,171.2
32,Daniel Jeleń,5179.83,May,2022,198.0
33,Marcin Marciniak,11626.05,May,2022,186.4
34,Sylwia Salamon,8682.78,May,2022,187.8
35,Dominik Dąbrowski,10609.2,May,2022,180.8
36,Anna Antoniuk,5470.82,June,2022,188.7
37,Jan Jerzmanowski,10141.39,June,2022,176.6
38,Krzysztof Kosiniak,11671.71,June,2022,173.8
39,Daniel Jeleń,8933.6,June,2022,189.7
40,Marcin Marciniak,5655.35,June,2022,178.9
41,Sylwia Salamon,10321.48,June,2022,177.7
42,Dominik Dąbrowski,6440.81,June,2022,182.9
43,Anna Antoniuk,10471.62,July,2022,182.2
44,Jan Jerzmanowski,7456.16,July,2022,181.2
45,Krzysztof Kosiniak,10799.6,July,2022,178.6
46,Daniel Jeleń,8553.69,July,2022,162.0
